name,price_at_scrape,price_reduction_rec_retail_at_scrape,scraoe_date
Oral B Variety Refills 4 Pack,14.99,10.00,2021-03-28
Oral B Stages Kids Frozen Gift Pack 3+ Years,39.99,10.00,2021-03-28
Oral B Stages Kids Star Wars Gift Pack 6+ Years,39.99,10.00,2021-03-28
Oral B Stages Kids Star Wars Gift Pack 6+ Years,39.99,10.00,2021-03-28
Oral B Variety Refills 4 Pack,14.99,10.00,2021-03-28
Difflam First Sign Defence Probiotic 30 Lozenges,20.00,9.99,2021-03-28
Bisolvon Chesty Ivy Leaf Honey Lemon 200ml,7.00,9.99,2021-03-28
Nature's Way Vita Gummies Hair Skin Nail 60 Gummies,9.97,9.98,2021-03-28
Nature's Way Adult Vita Gummies Womens Multivitamin 100 Gummies,9.97,9.98,2021-03-28
Nature's Way Adult Vita Gummies Fibre 110 Gummies,9.97,9.98,2021-03-28
Nature's Way Adult Vita Gummies Probiotic Sugar Free 65 Gummies,9.97,9.98,2021-03-28
Nude by Nature BB Brush 18,14.99,9.96,2021-03-28
Gillette Mach 3 Turbo 3D Cartridges 8 Pack,22.69,9.80,2021-03-28
Gillette Mach 3 Turbo 3D Cartridges 8 Pack,22.69,9.80,2021-03-28
Gillette Mach 3 Turbo 3D Cartridges 8 Pack,22.69,9.80,2021-03-28
Gillette Mach 3 Turbo Sensitive 8 Pack,22.39,9.60,2021-03-28
Gillette Mach 3 Turbo Sensitive 8 Pack,22.39,9.60,2021-03-28
Depend Men Real Fit Underwear Large 16 Bulk Pack,14.39,9.60,2021-03-28
Depend Men Real Fit Underwear Medium 16 Bulk Pack,14.39,9.60,2021-03-28
Gillette Mach 3 Turbo Sensitive 8 Pack,22.39,9.60,2021-03-28
Blackmores Bio Zinc 168 Tablets,31.99,9.51,2021-03-28
Gillette Mach 3+ Cartridges 8 Pack,21.69,9.30,2021-03-28
Gillette Mach 3+ Cartridges 8 Pack,21.69,9.30,2021-03-28
Gillette Mach 3+ Cartridges 8 Pack,21.69,9.30,2021-03-28
Gillette Fusion ProGlide Power Styler Shaving Razor 1 Pack,20.99,9.00,2021-03-28
Gillette Fusion ProGlide Power Styler Shaving Razor 1 Pack,20.99,9.00,2021-03-28
Gillette Fusion ProGlide Power Styler Shaving Razor 1 Pack,20.99,9.00,2021-03-28
Aveeno Active Naturals Skin Relief Moisturising Body Wash Fragrance Free 1 Litre,15.99,9.00,2021-03-28
Wagner Coq10 150mg 100 Capsules,24.99,9.00,2021-03-28
Aveeno Baby Dermexa Moisturising Cream for Eczema Prone Skin 206g,13.19,8.80,2021-03-28
Gillette Sensor Excel Refill Shaving Cartridge Pack 10,19.99,8.75,2021-03-28
Gillette Sensor Excel Refill Shaving Cartridge Pack 10,19.99,8.75,2021-03-28
Gillette Sensor Excel Refill Shaving Cartridge Pack 10,19.99,8.75,2021-03-28
Blackmores Flaxseed Oil 1000mg 100 Vegetarian Capsules,13.99,8.51,2021-03-28
Blackmores Probiotics+ Womens Flora Balance 30 Capsules,24.99,8.51,2021-03-28
Neutrogena Deep Clean Micellar Gel to Foam Normal to Oily Skin 142ml,8.49,8.50,2021-03-28
Oral B Precision Clean Replacement Electric Toothbrush Heads 3 Pack,12.59,8.40,2021-03-28
Oral B Precision Clean Replacement Electric Toothbrush Heads 3 Pack,12.59,8.40,2021-03-28
Blackmores Executive B Bulk Pack 250 Tablets,46.99,8.00,2021-03-28
Aveeno Active Naturals Daily Moisturising Body Wash 1 Litre,15.99,8.00,2021-03-28
Aveeno Oat Milk Shampoo 354ml,7.99,8.00,2021-03-28
Aveeno Almond Oil Conditioner 354ml Online Only,7.99,8.00,2021-03-28
Aveeno Oat Milk Conditioner 354ml,7.99,8.00,2021-03-28
Aveeno Apple Cider Vinegar Conditioner 354ml,7.99,8.00,2021-03-28
Aveeno Almond Oil Shampoo 354ml Online Only,7.99,8.00,2021-03-28
Aveeno Apple Cider Vinegar Shampoo 354ml,7.99,8.00,2021-03-28
Wagner Vitamin D3 1000IU 250 Capsules,6.99,8.00,2021-03-28
Caltrate Bone and Muscle 100 Tablets,9.99,8.00,2021-03-28
Caltrate Bone & Muscle 50+ 100 Tablets,9.99,8.00,2021-03-28
Neutrogena Hydro Boost Cleanser Water Gel 145ml,7.99,8.00,2021-03-28
Nature's Way Kids Probiotic Balls 50,7.97,7.98,2021-03-28
Blackmores Ginkgo 6000mg 30 Tablets,33.99,7.51,2021-03-28
Blackmores Lutein Defence 60 Tablets,33.49,7.51,2021-03-28
Neutrogena Deep Clean Facial Cleanser Normal to Oily Skin 200mL,7.49,7.50,2021-03-28
Neutrogena Deep Clean Foaming Cleanser 175g,7.49,7.50,2021-03-28
Neutrogena Oil Free Acne Wash Pink Grapefruit Facial Cleanser 175ml,7.49,7.50,2021-03-28
Neutrogena Pore Refining Toner 250ml,7.49,7.50,2021-03-28
Nature's Way Complete Daily Multivitamin 200 Tablets,7.49,7.50,2021-03-28
Nature's Way Apple Cider Vinegar 1200mg 90 Tablets,22.49,7.50,2021-03-28
Maybelline Full 'N Soft Volumizing Waterproof Mascara - Very Black,7.47,7.48,2021-03-28
Ensure Powder Neutral 850g,29.99,7.46,2021-03-28
Ensure Vanilla 850g,29.99,7.46,2021-03-28
Ensure Chocolate 850g,29.99,7.46,2021-03-28
L'Oreal Paris Revitalift Laser x3 Serum 30ml,42.49,7.46,2021-03-28
Nature's Way Kids Smart Complete Multivitamin 100 Capsules,27.49,7.46,2021-03-28
Cetaphil Oily Skin Cleanser 500ml,9.99,7.21,2021-03-28
Cetaphil Gentle Skin Cleanser 500ml,9.99,7.21,2021-03-28
Cetaphil Moisturising Lotion 500mL Pump Pack,9.99,7.21,2021-03-28
Cetaphil Oily Skin Cleanser 500ml,9.99,7.21,2021-03-28
Cetaphil Gentle Skin Cleanser 500ml,9.99,7.21,2021-03-28
Cetaphil Moisturising Lotion 500mL Pump Pack,9.99,7.21,2021-03-28
Cetaphil Oily Skin Cleanser 500ml,9.99,7.21,2021-03-28
Cetaphil Gentle Skin Cleanser 500ml,9.99,7.21,2021-03-28
Cetaphil Moisturising Lotion 500mL Pump Pack,9.99,7.21,2021-03-28
Blackmores Super Magnesium Plus 100 Tablets,22.49,7.01,2021-03-28
Blackmores Multivitamin for Teen Boys 60 Capsules,21.49,7.01,2021-03-28
Blackmores Nails Hair & Skin 60 Tablets,14.99,7.00,2021-03-28
Centrum Kids Incremin Iron Mixture Cherry Flavour 200ml,13.99,7.00,2021-03-28
Centrum For Men 50+ 90 Tablets,17.99,7.00,2021-03-28
Centrum For Women 90 Tablets Exclusive Size,17.99,7.00,2021-03-28
Centrum For Men 90 Tablets Exclusive Size,17.99,7.00,2021-03-28
Centrum For Women 50+ 90 Tablets,17.99,7.00,2021-03-28
Difflam Sore Throat Gargle with Iodine 200ml,6.99,7.00,2021-03-28
Bisolvon Cough Relief + Relax & Calm 200ml,16.99,7.00,2021-03-28
Bisolvon Cough Relief + Immune Support 200ml,16.99,7.00,2021-03-28
Neutrogena Oil-free Moisture Combination Skin Facial Moisturiser 118 mL,6.99,7.00,2021-03-28
Neutrogena Oil-Free Daily Scrub Acne-Prone Skin 125mL,6.99,7.00,2021-03-28
Neutrogena Oil Free Acne Wash 175ml,6.99,7.00,2021-03-28
Neutrogena Oil-free Moisture Sensitive Skin Facial Moisturiser 118 mL,6.99,7.00,2021-03-28
Neutrogena Oil Free Acne Wash 175ml,6.99,7.00,2021-03-28
Cetaphil UVA/UVB Defence SPF 50+ 50mL,15.99,6.96,2021-03-28
Cetaphil UVA/UVB Defence SPF 50+ 50mL,15.99,6.96,2021-03-28
Caltrate Bone Health 100 Tablets,9.99,6.96,2021-03-28
Cetaphil UVA/UVB Defence SPF 50+ 50mL,15.99,6.96,2021-03-28
Nude by Nature Mineral Brush 11,9.99,6.96,2021-03-28
Gillette Fusion ProShield Razor 2 Up,15.69,6.80,2021-03-28
Gillette Fusion ProShield Razor Chill 2 Up,15.69,6.80,2021-03-28
Oral B FlossAction Electric Toothbrush Heads 2 Pack,10.19,6.80,2021-03-28
Oral B Cross Action Black Refills 2 Pack,10.19,6.80,2021-03-28
Oral B Cross Action Black Refills 2 Pack,10.19,6.80,2021-03-28
Oral B FlossAction Electric Toothbrush Heads 2 Pack,10.19,6.80,2021-03-28
Aveeno Baby Dermexa Wash 236ml,10.19,6.80,2021-03-28
Gillette Fusion ProShield Razor Chill 2 Up,15.69,6.80,2021-03-28
Gillette Fusion ProShield Razor 2 Up,15.69,6.80,2021-03-28
Neutrogena Deep Clean Invigorating Foaming Scrub 125mL,6.79,6.80,2021-03-28
Gillette Fusion ProShield Razor 2 Up,15.69,6.80,2021-03-28
Gillette Fusion ProShield Razor Chill 2 Up,15.69,6.80,2021-03-28
Depend Women Real Fit Underwear Super Extra Large 8 Pack,10.19,6.80,2021-03-28
Depend Women Real Fit Underwear Super Large 8 Pack,10.19,6.80,2021-03-28
Depend Women Real Fit Underwear Super Medium 8 Pack,10.19,6.80,2021-03-28
Cetaphil Gentle Skin Cleanser 1 Litre Pump Pack,18.99,6.71,2021-03-28
Cetaphil Gentle Skin Cleanser 1 Litre Pump Pack,18.99,6.71,2021-03-28
Cetaphil Moisturising Lotion 1 Litre,18.99,6.71,2021-03-28
Cetaphil Gentle Skin Cleanser 1 Litre Pump Pack,18.99,6.71,2021-03-28
Cetaphil Gentle Skin Cleanser 1 Litre Pump Pack,18.99,6.71,2021-03-28
Cetaphil Moisturising Lotion 1 Litre,18.99,6.71,2021-03-28
Cetaphil Gentle Skin Cleanser 1 Litre Pump Pack,18.99,6.71,2021-03-28
Cetaphil Gentle Skin Cleanser 1 Litre Pump Pack,18.99,6.71,2021-03-28
Cetaphil Moisturising Lotion 1 Litre,18.99,6.71,2021-03-28
Aveeno Dermexa Daily Emollient Cream 200ml,15.39,6.60,2021-03-28
Blackmores Probiotics+ Kids Daily 30 x 1.3g Oral Powder Sachets,18.99,6.51,2021-03-28
