name,price_at_scrape,price_reduction_rec_retail_at_scrape,scraoe_date
Aveeno Intense Relief Hand Cream 50g,5.99,1.00,2021-03-28
Difflam Sore Throat Spray 176 Sprays 30ml,12.99,1.00,2021-03-28
Difflam Sugar Free Honey & Lemon 16 Lozenges,6.99,1.00,2021-03-28
Difflam Anti-Inflammatory Sugar Free Strawberry 16 Lozenges,6.99,1.00,2021-03-28
Difflam Sugar Free Orange 16 Lozenges,6.99,1.00,2021-03-28
Band-Aid Advanced Footcare Blister Cushions Assorted Shapes 5 Pack,10.99,1.00,2021-03-28
Band-Aid Advanced Footcare Blister Cushions Medium 5 Pack,10.99,1.00,2021-03-28
Advil Mini Liquid 20 Capsules,5.49,1.00,2021-03-28
Difflam Sugar Free Raspberry 16 Lozenges,6.99,1.00,2021-03-28
Wagner Hair Skin & Nails 100 Capsules,14.99,1.00,2021-03-28
Oral B Essential Floss Original 50m,1.99,1.00,2021-03-28
Oral B Essential Floss Original 50m,1.99,1.00,2021-03-28
Oral B Toothbrush Cross Action Indicator 1 Pack,4.99,1.00,2021-03-28
Oral B Toothbrush Sensiclean Precision Gum Care Extra Soft 2 Pack,2.99,1.00,2021-03-28
Oral B Toothbrush Bamboo Charcoal 1 Pack,4.99,1.00,2021-03-28
Oral B Toothbrush Cross Action Indicator 1 Pack,4.99,1.00,2021-03-28
Oral B Toothbrush Bamboo Charcoal 1 Pack,4.99,1.00,2021-03-28
Oral B Toothbrush Sensiclean Precision Gum Care Extra Soft 2 Pack,2.99,1.00,2021-03-28
Band-Aid Character Strips Marvel Avengers 15 Pack,1.50,0.99,2021-03-28
Band-Aid Character Strips Frozen 15,1.50,0.99,2021-03-28
Band-Aid Character Strips Mickey Mouse 15,1.50,0.99,2021-03-28
Aveeno Active Naturals Daily Moisturising Fragrance Free Lotion 71mL Travel Size,2.99,0.96,2021-03-28
Cetaphil Intensive Moisturising Cream 85g,8.99,0.96,2021-03-28
Cetaphil Moisture Cream 100g,8.49,0.96,2021-03-28
Cetaphil Daily Advance 85g,9.49,0.96,2021-03-28
L'Oreal Paris Revitalift Filler Replumping Sheet Mask 30g,6.99,0.96,2021-03-28
L'Oreal Paris Revitalift Lifting Sheet Mask 30g,6.99,0.96,2021-03-28
L'Oreal Paris Revitalift Plumping Sheet Mask 30g,6.99,0.96,2021-03-28
Cetaphil Daily Advance 85g,9.49,0.96,2021-03-28
Cetaphil Intensive Moisturising Cream 85g,8.99,0.96,2021-03-28
Cetaphil Moisture Cream 100g,8.49,0.96,2021-03-28
Cetaphil Daily Advance 85g,9.49,0.96,2021-03-28
Cetaphil Intensive Moisturising Cream 85g,8.99,0.96,2021-03-28
Cetaphil Moisture Cream 100g,8.49,0.96,2021-03-28
Curash Babycare Anti-Rash Baby Powder 100g,5.99,0.90,2021-03-28
Cetaphil Gentle Skin Cleanser 125mL,7.99,0.81,2021-03-28
Cetaphil Gentle Skin Cleanser 125mL,7.99,0.81,2021-03-28
Cetaphil Gentle Skin Cleanser 125mL,7.99,0.81,2021-03-28
Difflam Extra Strength Gel 5% 30g,9.49,0.80,2021-03-28
Band-Aid Advanced Healing Hydro Seal Jumbo 3 Pack,6.49,0.70,2021-03-28
Cetaphil Gentle Cleansing Bar 127g,8.99,0.66,2021-03-28
Cetaphil Antibacterial Bar 127g,8.99,0.66,2021-03-28
Cetaphil Gentle Skin 25 Cleansing Cloths,6.99,0.66,2021-03-28
Cetaphil Antibacterial Bar 127g,8.99,0.66,2021-03-28
Cetaphil Gentle Cleansing Bar 127g,8.99,0.66,2021-03-28
Cetaphil Gentle Skin 25 Cleansing Cloths,6.99,0.66,2021-03-28
Cetaphil Antibacterial Bar 127g,8.99,0.66,2021-03-28
Cetaphil Gentle Skin 25 Cleansing Cloths,6.99,0.66,2021-03-28
Cetaphil Gentle Cleansing Bar 127g,8.99,0.66,2021-03-28
Curash Babycare Fragrance Free Wipes 20,1.99,0.50,2021-03-28
Curash Babycare Soap Free Bath 400ml,6.49,0.50,2021-03-28
Glucerna Vanilla RTD 200ml,3.49,0.50,2021-03-28
Neutrogena T/Gel Daily Control 2 in 1 Anti-Dandruff Shampoo Plus Conditioner 200 mL,5.49,0.50,2021-03-28
Centrum Advance 50+ 30 Tablets,9.49,0.50,2021-03-28
Centrum Advance 30 Tablets,9.49,0.50,2021-03-28
Aveeno Skin Relief Lotion 71g,4.99,0.50,2021-03-28
Band-Aid Plastic Strips Assorted Shapes 50 Pack,4.49,0.50,2021-03-28
Band-Aid Advanced Healing Hydro Seal Blister Block 4 Pack,6.49,0.50,2021-03-28
Band-Aid Clear Spots 40 Pack,4.49,0.50,2021-03-28
Band-Aid Plastic Strips 50 Pack,4.49,0.50,2021-03-28
Band-Aid Extra Wide Plastic Strips 40 Pack,4.49,0.50,2021-03-28
Band-Aid Clear Strips 40 Pack,4.49,0.50,2021-03-28
Band-Aid Character Strips Star Wars 15,2.00,0.49,2021-03-28
L'Oreal Paris Youth Code Serum 30ml,53.99,0.46,2021-03-28
Curash Babycare Shampoo & Conditioner 400ml,6.49,0.40,2021-03-28
Band-Aid Skin-Flex Regular Adhesive Strips 40 Pack,8.49,0.40,2021-03-28
Gillette Disposable Razors Blue II Plus 5 Pack Pivot,5.49,0.36,2021-03-28
Gillette Disposable Razors Blue II Plus 5 Pack Pivot,5.49,0.36,2021-03-28
Gillette Disposable Razors Blue II Plus 5 Pack Pivot,5.49,0.36,2021-03-28
Neutrogena T/Gel Anti-Dandruff Conditioner 130mL,7.99,0.30,2021-03-28
Band-Aid Plastic Strips 10 Pack,1.49,0.24,2021-03-28
Band-Aid Plastic Strips 100 Pack,7.99,0.20,2021-03-28
Band-Aid Advanced Healing Hydro Seal Gel Plasters Large 6 Pack,6.99,0.20,2021-03-28
Band-Aid Advanced Healing Hydro Seal Gel Plasters Regular 10 Pack,6.99,0.20,2021-03-28
Band-Aid Tough Strips Extra Large Fabric Strips 10 Pack,2.99,0.15,2021-03-28
Band-Aid Tough Strips 20 Pack,2.99,0.15,2021-03-28
Band-Aid Tough Strips 40 Pack,5.49,0.10,2021-03-28
Curash Family Medicated Powder 100g,5.99,0.10,2021-03-28
Curash Babycare Medicated Nappy Rash Spray 50ml,9.99,0.01,2021-03-28
Curash Babycare Multi Purpose Healing Cream 75g,8.49,0.00,2021-03-28
Curash Babycare Sorbolene Cream 400mL,5.99,0.00,2021-03-28
Gillette Simply Venus Disposable Razor 4 Pack,2.99,0.00,2021-03-28
Gillette Daisy 3 4 Pack,5.99,0.00,2021-03-28
Gillette Simply Venus Disposable Razor 4 Pack,2.99,0.00,2021-03-28
Gillette Daisy 3 4 Pack,5.99,0.00,2021-03-28
Band-Aid Waterproof Tough Strips 20 Pack,3.99,0.00,2021-03-28
Band-Aid Adhesive Fabric Strips 50 Pack,4.99,0.00,2021-03-28
Band-Aid Waterproof Tough Strips Extra Large 10 Pack,3.99,0.00,2021-03-28
Band-Aid Character Strips Camp Quality 15 Pack,2.49,0.00,2021-03-28
Band-Aid Character Strips Super Heroes 15 Pack,2.49,0.00,2021-03-28
Band-Aid Character Strips Box of Hugs 15 Pack,2.49,0.00,2021-03-28
Band-Aid First Aid Non-Stick Pads 8 Pack,5.99,0.00,2021-03-28
Advil Liquid Capsules 90,12.99,0.00,2021-03-28
Advil 96 Tablets,9.99,0.00,2021-03-28
Advil Rapid Release 48 Tablets,8.99,0.00,2021-03-28
Advil Pain & Fever Suspension 200mL,11.99,0.00,2021-03-28
Advil Rapid Release 24 Tablets,4.49,0.00,2021-03-28
Advil Liquid Capsules 40,9.49,0.00,2021-03-28
Advil Pain & Fever Infant Drops 40ml,7.99,0.00,2021-03-28
Band-Aid Antibacterial Hand Sanitising Solution 250ml,6.99,0.00,2021-03-28
Band-Aid Aquablock Sterile Strips 40 Pack,5.99,0.00,2021-03-28
Band-Aid Character Strips Curious Creations 15 Pack,2.49,0.00,2021-03-28
Band-Aid Fabric Full Width Pad 24 Pack,3.49,0.00,2021-03-28
Band-Aid First Aid Non-Irritating Paper Tape 2.5cm x 9.1m 1 Pack,6.99,0.00,2021-03-28
Band-Aid Antibacterial Hand Sanitising Solution 60ml,2.99,0.00,2021-03-28
Band-Aid Skin-Flex Regular Strips 20 Pack,4.99,0.00,2021-03-28
Advil Tablets 24,4.99,0.00,2021-03-28
Advil Liquid Capsules 20,4.99,0.00,2021-03-28
Advil 12 Hour 16 Tablets,10.99,0.00,2021-03-28
Advil Mini Liquid 90 Capsules,19.99,0.00,2021-03-28
Advil Mini Liquid 40 Capsules,9.99,0.00,2021-03-28
Advil Pain & Fever Chewable 2-7 Years 20 Tablets,4.99,0.00,2021-03-28
Difflam-C Anti-inflammatory Antiseptic Solution 200ml,12.49,0.00,2021-03-28
Wagner Cranberry 25000+ 90 Capsules,15.99,0.00,2021-03-28
Wagner Evening Primrose Oil 1000 200 Capsules,17.99,0.00,2021-03-28
Wagner Professional Ferro Plus C 30 Modified Release Tablets,14.99,0.00,2021-03-28
Wagner High Strength Zinc 120 Tablets,9.99,0.00,2021-03-28
Difflam Anti-inflammatory Gargle 500ml,16.99,0.00,2021-03-28
Difflam Plus Sugar Free Blackcurrant 24 Lozenges,8.99,0.00,2021-03-28
Difflam Anti-inflammatory Mouth Gel 10g,8.99,0.00,2021-03-28
Bisolvon Chesty Forte Tablets 100 Pack - Cough Tablets,19.49,0.00,2021-03-28
Bisolvon Chesty Forte Tablets 100 Pack - Cough Tablets,19.49,0.00,2021-03-28
Bisolvon Chesty Forte Liquid 200mL - Cough Liquid,14.49,0.00,2021-03-28
Bisolvon Chesty Kids Strawberry Flavour Oral Liquid 200mL - Cough Liquid,14.49,0.00,2021-03-28
Bisolvon Pholcodine Dry Forte Liquid 200mL - Cough Liquid,14.49,0.00,2021-03-28
Bisolvon Chesty Forte Tablets 50 Pack - Cough Tablets,13.49,0.00,2021-03-28
Bisolvon Dry Honey Lime Flavour Pastilles 20 Pack - Cough Pastilles,8.99,0.00,2021-03-28
Bisolvon Chesty Oral Liquid 250mL - Cough Liquid,14.49,0.00,2021-03-28
Wagner Multivite For 50+ 100 Capsules,17.99,0.00,2021-03-28
Wagner Mens Multivite 100 Capsules,17.99,0.00,2021-03-28
Wagner Womens Multivite 100 Capsules,17.99,0.00,2021-03-28
Wagner Lecithin 1200 100 Capsules,9.99,0.00,2021-03-28
Wagner Horseradish Vitamin C & Garlic 200 Tablets,17.99,0.00,2021-03-28
Wagner Kids Zinc Plus Chewable 100 Tablets,8.99,0.00,2021-03-28
Wagner Glucosamine HCL 1500 400 Tablets,34.99,0.00,2021-03-28
Wagner Colostrum Milk Powder 250g,15.99,0.00,2021-03-28
Wagner Aloe Vera Juice 1 Litre,16.99,0.00,2021-03-28
Wagner Professional Ferro-Sustain 30 Modified Release Tablets,9.99,0.00,2021-03-28
Wagner Body Science Premium Stabiliser Thumb Adjustable Small/Medium,17.99,0.00,2021-03-28
Wagner Body Science Premium Brace Ankle Adjustable Small/Medium,29.99,0.00,2021-03-28
Wagner Body Science Premium Support Wrist Adjustable,17.99,0.00,2021-03-28
Wagner Kids Multivite Chew 90 Tablets,9.99,0.00,2021-03-28
Wagner Kids Vitamin C Chewable 100 Tablets,9.99,0.00,2021-03-28
Wagner Body Science Deluxe Sling Arm Adjustable,23.99,0.00,2021-03-28
Wagner Body Science Premium Support Elbow Adjustable,19.99,0.00,2021-03-28
Wagner Squalene 1000 200 Capsules,29.99,0.00,2021-03-28
Wagner Propolis 2150 200 Capsules,21.99,0.00,2021-03-28
Wagner High Strength Garlic 10000 100 Capsules,19.99,0.00,2021-03-28
Blackmores Super Strength CoQ10 300mg 90 Capsules Exclusive Size,50.99,0.00,2021-03-28
Gillette Simply Venus Disposable Razor 4 Pack,2.99,0.00,2021-03-28
Gillette Daisy 3 4 Pack,5.99,0.00,2021-03-28
Nurofen For Children 3months - 5years Pain and Fever Relief 100mg/5mL Ibuprofen Strawberry 200mL,15.99,0.00,2021-03-28
Nurofen For Children 5-12yrs Pain and Fever Relief Concentrated Liquid 200mg/5mL Ibuprofen Strawberry 200mL,22.99,0.00,2021-03-28
Oral Eze Dental Emergency 5mL,10.49,0.00,2021-03-28
